transaction_id,date,customer_id,gender,age,product_category,quantity,price_per_unit,total_amount,month,month_name,year_month,quarter,age_group,transaction_value_band,revenue_per_unit
1,2023-11-24,CUST001,Male,34,Beauty,3,50,150,11,November,2023-11,Q4,25-34,Medium,50
2,2023-02-27,CUST002,Female,26,Clothing,2,500,1000,2,February,2023-02,Q1,25-34,High,500
3,2023-01-13,CUST003,Male,50,Electronics,1,30,30,1,January,2023-01,Q1,45-54,Low,30
4,2023-05-21,CUST004,Male,37,Clothing,1,500,500,5,May,2023-05,Q2,35-44,High,500
5,2023-05-06,CUST005,Male,30,Beauty,2,50,100,5,May,2023-05,Q2,25-34,Medium,50
6,2023-04-25,CUST006,Female,45,Beauty,1,30,30,4,April,2023-04,Q2,45-54,Low,30
7,2023-03-13,CUST007,Male,46,Clothing,2,25,50,3,March,2023-03,Q1,45-54,Low,25
8,2023-02-22,CUST008,Male,30,Electronics,4,25,100,2,February,2023-02,Q1,25-34,Medium,25
9,2023-12-13,CUST009,Male,63,Electronics,2,300,600,12,December,2023-12,Q4,55-64,High,300
10,2023-10-07,CUST010,Female,52,Clothing,4,50,200,10,October,2023-10,Q4,45-54,Medium,50
11,2023-02-14,CUST011,Male,23,Clothing,2,50,100,2,February,2023-02,Q1,18-24,Medium,50
12,2023-10-30,CUST012,Male,35,Beauty,3,25,75,10,October,2023-10,Q4,35-44,Low,25
13,2023-08-05,CUST013,Male,22,Electronics,3,500,1500,8,August,2023-08,Q3,18-24,High,500
14,2023-01-17,CUST014,Male,64,Clothing,4,30,120,1,January,2023-01,Q1,55-64,Medium,30
15,2023-01-16,CUST015,Female,42,Electronics,4,500,2000,1,January,2023-01,Q1,35-44,High,500
16,2023-02-17,CUST016,Male,19,Clothing,3,500,1500,2,February,2023-02,Q1,18-24,High,500
17,2023-04-22,CUST017,Female,27,Clothing,4,25,100,4,April,2023-04,Q2,25-34,Medium,25
18,2023-04-30,CUST018,Female,47,Electronics,2,25,50,4,April,2023-04,Q2,45-54,Low,25
19,2023-09-16,CUST019,Female,62,Clothing,2,25,50,9,September,2023-09,Q3,55-64,Low,25
20,2023-11-05,CUST020,Male,22,Clothing,3,300,900,11,November,2023-11,Q4,18-24,High,300
21,2023-01-14,CUST021,Female,50,Beauty,1,500,500,1,January,2023-01,Q1,45-54,High,500
22,2023-10-15,CUST022,Male,18,Clothing,2,50,100,10,October,2023-10,Q4,18-24,Medium,50
23,2023-04-12,CUST023,Female,35,Clothing,4,30,120,4,April,2023-04,Q2,35-44,Medium,30
24,2023-11-29,CUST024,Female,49,Clothing,1,300,300,11,November,2023-11,Q4,45-54,Medium,300
25,2023-12-26,CUST025,Female,64,Beauty,1,50,50,12,December,2023-12,Q4,55-64,Low,50
26,2023-10-07,CUST026,Female,28,Electronics,2,500,1000,10,October,2023-10,Q4,25-34,High,500
27,2023-08-03,CUST027,Female,38,Beauty,2,25,50,8,August,2023-08,Q3,35-44,Low,25
28,2023-04-23,CUST028,Female,43,Beauty,1,500,500,4,April,2023-04,Q2,35-44,High,500
29,2023-08-18,CUST029,Female,42,Electronics,1,30,30,8,August,2023-08,Q3,35-44,Low,30
30,2023-10-29,CUST030,Female,39,Beauty,3,300,900,10,October,2023-10,Q4,35-44,High,300
31,2023-05-23,CUST031,Male,44,Electronics,4,300,1200,5,May,2023-05,Q2,35-44,High,300
32,2023-01-04,CUST032,Male,30,Beauty,3,30,90,1,January,2023-01,Q1,25-34,Low,30
33,2023-03-23,CUST033,Female,50,Electronics,2,50,100,3,March,2023-03,Q1,45-54,Medium,50
34,2023-12-24,CUST034,Female,51,Clothing,3,50,150,12,December,2023-12,Q4,45-54,Medium,50
35,2023-08-05,CUST035,Female,58,Beauty,3,300,900,8,August,2023-08,Q3,55-64,High,300
36,2023-06-24,CUST036,Male,52,Beauty,3,300,900,6,June,2023-06,Q2,45-54,High,300
37,2023-05-23,CUST037,Female,18,Beauty,3,25,75,5,May,2023-05,Q2,18-24,Low,25
38,2023-03-21,CUST038,Male,38,Beauty,4,50,200,3,March,2023-03,Q1,35-44,Medium,50
39,2023-04-21,CUST039,Male,23,Clothing,4,30,120,4,April,2023-04,Q2,18-24,Medium,30
