Caveat,CaveatCodes,CaveatFootnotes,DataSetCaveat,DataSetCaveatCodes,DataSetCaveatFootnotes,DataSetMetaTagCodes,DataSetMetaTags,DataSetMetaTagsWithType,DecimalPlaces,GroupNumber,UnitsArePrefix,LowerValue,MappedState,MeasureCategoryCode,MeasureCode,MeasureMetaTagCodes,MeasureMetaTags,MeasureMetaTagsWithType,MeasureName,PeerCaveat,PeerCaveatCodes,PeerCaveatFootnotes,PeerGroupName,PeerSuppression,PeerSuppressionCodes,PeerValue,ProxyChildren,ProxyReportingUnitName,ReportedMeasureCategoryCode,ReportedMeasureCategoryName,ReportedMeasureCategoryThreeCode,ReportedMeasureCategoryThreeName,ReportedMeasureCategoryTwoCode,ReportedMeasureCategoryTwoName,ReportedMeasureCategoryTypeCode,ReportedMeasureCategoryTypeName,ReportedMeasureCategoryThreeTypeCode,ReportedMeasureCategoryThreeTypeName,ReportedMeasureCategoryTwoTypeCode,ReportedMeasureCategoryTwoTypeName,ReportedMeasureCode,ReportedMeasureMetaTagCodes,ReportedMeasureMetaTags,ReportedMeasureMetaTagsWithType,ReportedMeasureName,ReportingEnd,ReportingStart,ReportingUnitCode,ReportingUnitMetaTagCodes,ReportingUnitMetaTags,ReportingUnitMetaTagsWithType,ReportingUnitName,ReportingUnitTypeCode,ReportingUnitTypeName,Suppression,SuppressionCodes,UnitsDisplay,UnitsName,UpperValue,Value
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,8.0000000000,,,ES_U1_Urgent,Urgent elective surgery,,,,,ES_URGENCY,Urgency categorisation,,,,,MYH-RM0040,,,,Urgent elective surgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,5.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,69.0000000000,,,ES_U2_SemiUrgent,Semi-urgent elective surgery,,,,,ES_URGENCY,Urgency categorisation,,,,,MYH-RM0041,,,,Semi-urgent elective surgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,48.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,250.0000000000,,,ES_U3_NonUrgent,Non-urgent elective surgery,,,,,ES_URGENCY,Urgency categorisation,,,,,MYH-RM0042,,,,Non-urgent elective surgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,189.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S1_CardioThoracicSurgery,Cardio-thoracic surgery,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0050,,,,Cardio-thoracic surgery,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,35.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S2_ENT,"Ear, nose and throat surgery",,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0052,,,,"Ear, nose and throat surgery",2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,118.0000000000
NP,X40,NP Reported data did not meet the criteria to calculate this indicator.,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,308.0000000000,,,ES_I008_Myringoplasty,Myringoplasty/tympanoplasty,,,,,ES_IP,Intended procedure,,,,,MYH-RM0053,,,,Myringoplasty/tympanoplasty,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,NP,X40,days,days,,
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,78.0000000000,,,ES_I009_Myringotomy,Myringotomy,,,,,ES_IP,Intended procedure,,,,,MYH-RM0054,,,,Myringotomy,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,95.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,257.0000000000,,,ES_I011_Septoplasty,Septoplasty,,,,,ES_IP,Intended procedure,,,,,MYH-RM0055,,,,Septoplasty,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,318.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,,,,Children's hospitals,,,139.0000000000,,,ES_I012_Tonsillectomy,Tonsillectomy (with or without adenoidectomy),,,,,ES_IP,Intended procedure,,,,,MYH-RM0056,,,,Tonsillectomy (with or without adenoidectomy),2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,308.0000000000
,,,,,,,,,0,,False,,NSW,MYH-ES,MYH0009,BRICK_ESSSWT;BRICK_ESIPWT;BRICK_ESNIUC,ESSSWT;ESIPWT;ESNIUC,BRICK|ESSSWT;BRICK|ESIPWT;BRICK|ESNIUC,Median waiting time for elective surgery,Not peered,X22,Not peered,Children's hospitals,,,,,,ES_S6_Ophthalmology,Ophthalmology,,,,,ES_SS,Specialty of surgeon,,,,,MYH-RM0057,,,,Ophthalmology,2025-06-30,2024-07-01,H0014,,,,The Children's Hospital at Westmead,H,Hospital,,,days,days,,71.0000000000
